概念名,标签,描述摘要,所属大类,建议分解方向,分解理由,是否为原子概念,建议新建父概念,处理优先级
一二,"社会, 数量",一二，一二之数，古代指少数或逐一列举。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
一介之使,"成语, 外交, 东汉, 三国, 南北朝",指一个使者或使者身份；出自张奂辞官、费祎使吴、王昌岿赴江陵,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
一劳永逸,"成语, 唐",辛苦一次把事情办好，以后就不费事了；出自李世民攻洛阳、李袭吉劝取凤翔,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
一鼓作气,"成语, 军事, 三国, 曹魏, 春秋",趁士气旺盛时一举行动，出自曹刿论战、司马师用兵,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
丁_(概念),"文化, 历法, 丁, [[丙_(概念)|丙]] | [[戊_(概念)|戊]] | [[己_(概念)|己]] | [[庚_(概念)|庚]] | [[天干]] | [[丁壮]]",天干第四位，与地支相配以纪日；亦指人口、丁壮,时间,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
丁口,"经济, 制度",人口丁壮，古代计口征税之基本单位，丁口钱即人头税。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
丁女,"制度, 赋役, 秦汉",丁女，成年女子，国家役使的对象,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
丁男,"制度, 赋役, 人口",成年男子，为国家赋役的主要承担者。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
七庙,"礼制, 祭祀, 宗庙",中国古代天子设立的七座先祖宗庙——太祖庙一、三昭三穆，是宗庙祭祀制度的核心，象征王朝正统,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
七略,"学术, 目录, 图书",西汉刘歆编撰的中国第一部图书分类目录——辑略、六艺略、诸子略、诗赋略、兵书略、术数略、方技略，奠定了中国目录学基础,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
万岁,"称谓, 礼制",祝颂帝王的吉祥话，亦代指皇帝,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
万户侯,"爵位, 封赏, 列侯",食邑万户的列侯，最高等级侯爵，秦汉之际为封赏之极。,爵位,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
万骑,"军事, 兵制",万骑，本义为万名骑兵，后成为精锐骑兵部队的称号，唐代为禁军名号,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
丈_(概念),"制度, 器物, 丈, [[尺_(概念)|尺]] | [[寸_(概念)|寸]] | [[匹_(概念)|匹]] | [[仞_(概念)|仞]] | [[里_(概念)|里]]",长度单位，十尺为一丈；亦用于对年长男子的尊称,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
